,matched_words,matched_scores,words_frequency,total_memory_mb,time_sec
I,,,,3.1749324798583984,4.664677858352661
a,,,,3.1749324798583984,4.664677858352661
an,,,,3.1749324798583984,4.664677858352661
and,,,,3.1749324798583984,4.664677858352661
apple,appeal,91,13.0,3.1749324798583984,4.664677858352661
banana,"{'qiannan', 'gannan', 'nana', 'anna', 'bandanna'}","{80, 73, 77, 71}","{0.0, 1.0}",3.1749324798583984,4.664677858352661
don't,,,,3.1749324798583984,4.664677858352661
error,"{'errors', 'error'}","{80, 73}","{2.0, 4.0}",3.1749324798583984,4.664677858352661
have,,,,3.1749324798583984,4.664677858352661
hope,,,,3.1749324798583984,4.664677858352661
i,,,,3.1749324798583984,4.664677858352661
if,,,,3.1749324798583984,4.664677858352661
in,,,,3.1749324798583984,4.664677858352661
jerusalem,jerusalem,89,0.0,3.1749324798583984,4.664677858352661
lemon,leone,91,0.0,3.1749324798583984,4.664677858352661
london,london,92,0.0,3.1749324798583984,4.664677858352661
or,,,,3.1749324798583984,4.664677858352661
pear,paper,89,7.0,3.1749324798583984,4.664677858352661
please,please,92,1.0,3.1749324798583984,4.664677858352661
possible,possible,93,30.0,3.1749324798583984,4.664677858352661
wanna,"{'hanna', 'ann', 'anna'}","{80, 89, 75}",{0.0},3.1749324798583984,4.664677858352661
watermelon,"{'wartel', 'warren'}",{71},{0.0},3.1749324798583984,4.664677858352661
with,,,,3.1749324798583984,4.664677858352661
