,matched_words,matched_scores,words_frequency,time_sec,total_memory_mb
I,,,,1.5753333568572998,2.7966842651367188
a,,,,1.5753333568572998,2.7966842651367188
an,,,,1.5753333568572998,2.7966842651367188
and,,,,1.5753333568572998,2.7966842651367188
apple,appeal,91,7.0,1.5753333568572998,2.7966842651367188
banana,"{'anna', 'banana'}","{73, 92}","{0.0, 1.0}",1.5753333568572998,2.7966842651367188
don't,,,,1.5753333568572998,2.7966842651367188
error,error,80,8.0,1.5753333568572998,2.7966842651367188
have,,,,1.5753333568572998,2.7966842651367188
hope,,,,1.5753333568572998,2.7966842651367188
i,,,,1.5753333568572998,2.7966842651367188
if,,,,1.5753333568572998,2.7966842651367188
in,,,,1.5753333568572998,2.7966842651367188
jerusalem,jerusalem,89,0.0,1.5753333568572998,2.7966842651367188
lemon,"{'lemon', 'leone'}",{91},{0.0},1.5753333568572998,2.7966842651367188
london,london,92,0.0,1.5753333568572998,2.7966842651367188
or,,,,1.5753333568572998,2.7966842651367188
pear,paper,89,8.0,1.5753333568572998,2.7966842651367188
please,please,92,0.0,1.5753333568572998,2.7966842651367188
possible,possible,93,23.0,1.5753333568572998,2.7966842651367188
wanna,"{'wanna', 'anna'}","{89, 100}",{0.0},1.5753333568572998,2.7966842651367188
watermelon,"{'warren', 'weathermen'}","{76, 71}",{0.0},1.5753333568572998,2.7966842651367188
with,,,,1.5753333568572998,2.7966842651367188
